Water System Summary,,,,,,,,,,
Report Date: 04/30/2026 12:22:12,,,,,,,,,,
Report Filters: Submission Year is 2026 and Quarter is 1 and EPA Region in (09) and Primacy Agency in (CA) and Owner Type in (S) and Activity Status is A,,,,,,,,,,
,,,,,,,,,,
PWS ID,PWS Name,EPA Region Name,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA4510302,DP&R - MCARTHUR-BURNEY FALLS SP,Region 9,California,Transient non-community system,"1,800",,Shasta,5,1,6
CA4510303,DP&R - CASTLE CRAGS SP,Region 9,California,Transient non-community system,425,,Shasta,12,1,7
CA0810800,CALFIRE-ALDER CONSERVATION CAMP,Region 9,California,Non-Transient non-community system,135,,Del Norte,5,6,17
CA1210801,CAL FIRE-HIGH ROCK CONSERVATION CAMP,Region 9,California,Non-Transient non-community system,80,,Humboldt,6,44,9
CA5210800,CAL FIRE - ISHI CONSERVATION CAMP,Region 9,California,Non-Transient non-community system,135,,Tehama,5,4,10
CA4310300,CSP HENRY W. COE STATE PARK,Region 9,California,Transient non-community system,898,,Santa Clara,6,8,11
CA4300998,HENRY W COE STATE PARK - DOWDY RANCH,Region 9,California,Transient non-community system,50,,Santa Clara,3,0,5
CA2000770,POMONA RANCH HOUSING CENTER,Region 9,California,Transient non-community system,322,,Madera,4,4,6
CA1310800,CALIPATRIA STATE PRISON,Region 9,California,Community water system,"4,800",,Imperial,4,5,12
CA4910027,SONOMA STATE UNIVERSITY,Region 9,California,Community water system,"10,986",,Sonoma,6,16,6
CA4901265,SONOMA STATE U.-FAIRFIELD OSBORN PRES,Region 9,California,Transient non-community system,151,,Sonoma,3,8,1
CA3910300,CSP CASWELL STATE PARK,Region 9,California,Transient non-community system,186,,San Joaquin,6,9,10
CA0310300,INDIAN GRINDING ROCK-CALAVERAS DISTRICT,Region 9,California,Transient non-community system,63,,Amador,5,0,13
CA3610300,PROVIDENCE MTNS SRA,Region 9,California,Transient non-community system,"3,203",,San Bernardino,5,1,4
CA5210500,LASSEN VNP - BUTTE LAKE,Region 9,California,Transient non-community system,240,,Tehama,3,1,9
CA5500272,SPICER MEADOW CAMPGROUND,Region 9,California,Transient non-community system,30,,Tuolumne,2,6,10
CA1910801,FENNER CANYON YOUTH CONSERVATION CAMP,Region 9,California,Community water system,65,,Los Angeles,3,5,7
CA3610801,CDF - PILOT ROCK CONSERVATION CAMP,Region 9,California,Community water system,65,,San Bernardino,7,6,6
CA0500097,CUSD DISTRICT OFFICE,Region 9,California,Non-Transient non-community system,100,,Calaveras,2,15,11
CA1510301,CSP - FORT TEJON,Region 9,California,Transient non-community system,155,,Kern,3,3,6
CA1510302,CSP - TULE ELK,Region 9,California,Transient non-community system,105,,Kern,3,19,7
CA0400105,GRAY LODGE CHECK STATION,Region 9,California,Transient non-community system,"8,000",,Butte,3,6,8
CA4700573,CALTRANS-DUNSMUIR GRADE INSP. FACILITY,Region 9,California,Non-Transient non-community system,200,,Siskiyou,4,3,8
CA4700558,CALTRANS-GRASS LAKE REST STOP,Region 9,California,Transient non-community system,600,,Siskiyou,5,3,6
CA1910604,"DWR. VISTA DEL LAGO VISITOR CTR,VAQUERRO",Region 9,California,Transient non-community system,135,,Los Angeles,5,1,16
CA3200186,UC BERKELEY FORESTRY CAMP,Region 9,California,Transient non-community system,100,,Plumas,3,6,7
CA4110029,BUTANO STATE PARK - CSP,Region 9,California,Transient non-community system,95,,San Mateo,4,6,9
CA4100527,CSP - PORTOLA STATE PARK,Region 9,California,Transient non-community system,181,,San Mateo,3,54,9
CA4100575,CSP - ANO NUEVO STATE PARK,Region 9,California,Transient non-community system,709,,San Mateo,7,8,10
CA4410304,CSP-NATURE CENTER,Region 9,California,Transient non-community system,28,,Santa Cruz,5,6,8
CA4410306,CSP - RANCHO DEL OSO,Region 9,California,Transient non-community system,669,,Santa Cruz,5,10,9
CA4100553,PIGEON POINT HOSTEL,Region 9,California,Transient non-community system,67,,San Mateo,3,6,30
CA3710311,CUYAMACA SP - PASO PICACHO,Region 9,California,Transient non-community system,691,,San Diego,6,5,11
CA5700532,YOLO BYPASS WILDLIFE AREA,Region 9,California,Transient non-community system,25,,Yolo,4,11,9
CA4010301,HEARST MEMORIAL STATE BEACH,Region 9,California,Transient non-community system,500,,San Luis Obispo,4,1,13
CA2000695,MADERA COMMUNITY COLLEGE,Region 9,California,Non-Transient non-community system,750,,Madera,6,10,12
CA4010300,HEARST MONUMENT STATE PARK,Region 9,California,Non-Transient non-community system,200,,San Luis Obispo,5,5,17
CA1010800,CAL FIRE - MIRAMONTE CONSERVATION CAMP,Region 9,California,Community water system,52,,Fresno,6,14,7
CA2400057,CAL TRANS ERRECA REST AREA,Region 9,California,Transient non-community system,"6,150",,Merced,4,4,9
CA5601725,SMITH FORKS WATER SYSTEM,Region 9,California,Transient non-community system,"3,000",,Ventura,3,1,5
CA1910301,ANTELOPE VALLEY INDIAN MUSEUM STATE PARK,Region 9,California,Transient non-community system,506,,Los Angeles,3,2,9
CA1910303,ANTELOPE VALLEY POPPY RESERVE STATE PARK,Region 9,California,Transient non-community system,"25,007",,Los Angeles,5,0,11
CA1510300,CSP - RED ROCK CANYON,Region 9,California,Transient non-community system,404,,Kern,3,13,6
CA2310303,CSP-HENDY WOODS STATE PARK,Region 9,California,Transient non-community system,236,,Mendocino,4,2,6
CA0500032,NEW MELONES LAKE MARINA,Region 9,California,Transient non-community system,100,,Calaveras,4,7,9
CA1300571,UC DESERT RESEARCH AND EXTENSION CENTER,Region 9,California,Community water system,30,,Imperial,3,94,8
CA4600064,TNF-CAL-IDA WELL,Region 9,California,Transient non-community system,200,,Sierra,3,15,10
CA1510801,WASCO ST. PRISON RECEPTION CTR,Region 9,California,Community water system,"5,124",,Kern,6,3,11
CA2810008,VETERANS HOME OF CALIFORNIA,Region 9,California,Community water system,"1,000",,Napa,3,6,15
CA5510851,CDCR - SIERRA CONSERVATION CENTER,Region 9,California,Community water system,"3,571",,Tuolumne,3,14,11
CA3610131,CDFA-MOUNTAIN PASS JPOE AIS,Region 9,California,Transient non-community system,123,,San Bernardino,4,1,3
CA2600589,CAL TRANS - CRESTVIEW REST AREA,Region 9,California,Transient non-community system,300,,Mono,3,15,5
CA1502422,CALTRANS-BORON REST STOP WATER SYSTEM,Region 9,California,Transient non-community system,"3,000",,Kern,3,16,5
CA1400114,CAL TRANS - DIVISION CREEK,Region 9,California,Transient non-community system,300,,Inyo,3,2,5
CA1400115,CAL TRANS - COSO JUNCTION,Region 9,California,Transient non-community system,"1,000",,Inyo,3,1,5
