Water System Summary,,,,,,,,,,
Report Date: 04/30/2026 12:21:10,,,,,,,,,,
Report Filters: Submission Year is 2026 and Quarter is 1 and EPA Region in (06) and Primacy Agency in (TX) and Owner Type in (S) and Activity Status is A,,,,,,,,,,
,,,,,,,,,,
PWS ID,PWS Name,EPA Region Name,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
TX1560005,TPWD CHOKE CANYON STATE PARK CALLIHAM,Region 6,Texas,Transient non-community system,133,,McMullen,14,52,15
TX1950010,TPWD BALMORHEA STATE PARK,Region 6,Texas,Transient non-community system,100,,Reeves,9,23,7
TX1340018,TPWD SOUTH LLANO RIVER STATE PARK,Region 6,Texas,Transient non-community system,350,,Kimble,10,6,15
TX1070222,TPWD PURTIS CREEK STATE PARK,Region 6,Texas,Transient non-community system,282,,Henderson,8,1,6
TX1300030,TPWD GUADALUPE RIVER STATE PARK,Region 6,Texas,Transient non-community system,"2,165",,Kendall,25,26,13
TX2210014,TPWD ABILENE STATE PARK,Region 6,Texas,Transient non-community system,408,,Taylor,7,13,8
TX2260002,HHSC SAN ANGELO STATE SUPPORTED LIVING C,Region 6,Texas,Community water system,900,,Tom Green,13,17,15
TX0210017,TEXAS A&M UNIVERSITY MAIN CAMPUS,Region 6,Texas,Community water system,"61,000",,Brazos,39,21,9
TX0810025,FLG OWNER PWS 2,Region 6,Texas,Transient non-community system,50,,Freestone,8,28,6
TX0810026,FLG OWNER PWS 3,Region 6,Texas,Transient non-community system,603,,Freestone,8,28,6
TX2360087,TDCJ WATER HAULER RI FACILITIES MAINT,Region 6,Texas,Transient non-community system,25,,Walker,7,6,2
TX0130070,TDCJ WATER HAULER R IV FACIILITIES MAINT,Region 6,Texas,Transient non-community system,25,,Bee,6,26,7
TX0010031,TDCJ COFFIELD UNIT,Region 6,Texas,Community water system,"7,965",,Anderson,33,23,15
TX0010044,TDCJ BETO UNIT,Region 6,Texas,Community water system,"8,148",,Anderson,39,16,14
TX0790085,TDCJ JESTER UNIT 3,Region 6,Texas,Community water system,"3,365",,Fort Bend,23,15,11
TX0930033,TDCJ LUTHER UNITS,Region 6,Texas,Community water system,"1,431",,Grimes,12,21,12
TX0930034,TDCJ PACK UNIT,Region 6,Texas,Community water system,"1,597",,Grimes,12,85,10
TX0130002,TDCJ CHASE FIELD,Region 6,Texas,Community water system,"5,669",,Bee,19,23,9
